OBJECTID,english_ro,RoadClass,LandUse,priority_score,query_lon,query_lat,mapillary_has_coverage,mapillary_image_count,mapillary_image_id,mapillary_captured_at,mapillary_compass_angle,mapillary_is_pano,mapillary_image_lon,mapillary_image_lat,mapillary_thumbnail_url,sidewalk_present,crossing_present,school_or_market_context,transit_stop_context,pedestrian_activity_visible,speed_sign_visible,notes
15807,Udon Ratthaya Expressway,motorway,URBAN,0.9901204088704088,100.5432377,13.9018303,1,481,811328303124630.0,1543701431465.0,16.442687988281,False,100.54324865341187,13.901669684124556,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-JdfTP2mMNEWBA0ksvjF9SdhP6V_f1UepSuSakimn-7fdxbh9F2Fzv3VnSmlYnNlaMnWdeZRprmg0k0z1IBo-7p5I26sXk1g9-qd5GbxAvqjmWUm7y3kjLyB16ueMhvXAs0D3w2GDJdkuqsvco4Q?stp=s1024x768&edm=ALXxkZ8EAAAA&_nc_gid=Jw0gD6MdkvqAfPqNzkWHpA&_nc_oc=AdrNfvulR3USYDCNJtQu-42kCY3b5ARd9am1VghuOn7TN2TNL9dEzU3AlKdBONI7wJ4&ccb=10-5&oh=00_Af-GBp-uI-4GNUENOEP4ql7NSavcOzu-trcWBwIq2RKTRg&oe=6A586238&_nc_sid=201bca,,,,,,,
16367,Prachim Ratthaya Expressway,motorway,URBAN,0.987110187110187,100.4258304,13.799194,1,59,859717980409892.0,1770984100733.0,280.0460563468721,False,100.4263687133789,13.798531985886044,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An8d3W_-JN9-SIKF6qJ475pkWVbKrtlgxE6fgo7KagKeFmW7UqAg-gxHWq86pWwVRCSik3nTBGkyxLwXxBop95RRP3QqJCmX2QuObHwfNoG5yKtavtfh2VHf3FUOwGjFTzO-KSfTDoYvRMI7haI_uKc?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=xOBo-NQkXa0SNwj3R_LvaQ&_nc_oc=AdosUY_oURp1hKHgmA1xTikJ67FkLtcZPiDpzwM4sU-TrMv94I6llFVsAXcdWd38r6E&ccb=10-5&oh=00_Af_ch1dUfMjDBUm7eggk-ip8OyqbUJf5ubgBWuj4EeOaXQ&oe=6A5875AA&_nc_sid=201bca,,,,,,,
16369,Prachim Ratthaya Expressway,motorway,URBAN,0.9848925848925849,100.5499176,13.8112534,1,3663,1464357001790695.0,1770751357800.0,15.454981853530967,False,100.54983079433441,13.811013860711498,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-cno4pPrjHOI8J8AnGOGnxDAL3KMF89dSCw83C-lJw3lMKIErPcefnL41NJGYEhsOrmd__5HoeZCKDpS-srY0KDjTPO_-YUpbs2nLbWK5uOHG-s7pqcu955L5HZ9P8oWvoWMsqRw78xnKom3DEUBQ?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=U9qoZHAGxptuijB0vl_h4A&_nc_oc=AdrOGj6cO9eMidDOcEvughEJEDGpZN75uom1Xp9-M_m6s27uhnhZHnTK53OTGIch1Nk&ccb=10-6&oh=00_Af-0R-yShAGS3jHNwMDbo7-n8l5bVzhYy3cGBD8vCa2LNA&oe=6A587852&_nc_sid=201bca,,,,,,,
178,Buraphawithi Expressway,motorway,URBAN,0.9846110533610534,101.00488587,13.48893451,1,526,3950834061630243.0,1540994744175.0,201.4626062814,False,101.0047173500061,13.488168310245428,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-Mgsq8Ari4LYTH9IMD5TqSSGdK0NXMbiThTftENLZ5_8WfEmcQCVRArsrIQmONI_z3Gv2-qQY635tQ5l6nzEg97GN9KtV4xdXJth7a0sPJb9thk-0fCZvlZKMGZ76elD8bK__BP65hAi5cAn6rOQ?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=1i38y2pHCzEG2bhoFANROA&_nc_oc=AdrV3DL1RwNDVfPim6Bjn9t1lZs9xGBWA9CgqV5CoBo5VuJ9pNgyuUkoE-PHlZCz3Bo&ccb=10-5&oh=00_Af-qu5pI_4rq0KaK1RIqZ0tjwS57pC6uIHFtY0yEgRLtiw&oe=6A584865&_nc_sid=201bca,,,,,,,
36078,Phetkasem Road,trunk,RURAL,0.9840306652806652,98.4261369,8.3338412,1,21,955950325166819.0,1533943324289.0,37.979583740234,False,98.42596650123596,8.333625265797693,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An87RMQiYu-uw-hBCO54CAmBO1-sTVjN3r_LlG1WPsycwwokSkZJfZL46lW7l-JgvxTBuNd8AQHXgoXIR7A9PjUUmJ3-xRbt7MDULLFaxTfl6a5cxbm_ZGahkrVuFg1EpBW4DCAqnhEvkYkDZdB8FtQ?stp=s1024x768&edm=ALXxkZ8EAAAA&_nc_gid=3qArsU6RMTArW9NX0PHcHw&_nc_oc=AdqspwDL8OBv2Gt5Pt41Q332fTgLvcSpVit1nWullsUtofHo5yqIvTi_4FxMEEoyJlI&ccb=10-5&oh=00_Af-ddBdpovDPi_2mwq0YvO1rwwdSBwTRzlbLQBMzUzVL9Q&oe=6A586898&_nc_sid=201bca,,,,,,,
17519,Asian Highway,trunk,URBAN,0.9834719334719334,100.35200968,14.99199584,1,237,1308334241220694.0,1777425034757.0,332.05158049387904,False,100.35204470157623,14.992079402075063,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-R-Lz9PsfVZrcz_d827VMV9Ade33eeIV3oXZuPJMhpKgXVFcJ50yqZOA5n5j1ZnCnHH--A3nnzMjq627H4N8ohai0LEtQTPIYs5t9KI01ih3RqIHJrQOTBdb0_7shaGeke7u2WO9WMcOrO9KVrpQ?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=bVbmReGS_IAT04VGmCvG-g&_nc_oc=AdpgHL_uELWLHstPYGWz0Q15LbaKjpkO-6_W5zeKBG44JypjTuoWpvPSi36ua4LIp_Q&ccb=10-5&oh=00_Af8oI8W_W4wzvgGLOcyu8sWhpO-IwKDnx5DLBrnfSTIVcA&oe=6A5855D4&_nc_sid=201bca,,,,,,,
35515,Chalong Rat Expressway,motorway,URBAN,0.982661988911989,100.6890981,13.8974356,1,1524,603789171014656.0,1580077643000.0,-1.0,False,100.68851172924042,13.897321554941996,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-RK3SO5reazLz6wJ5OWpewAaobDIUNmegYxV1gOI-Fow-os0w6uT9MelAO2R-12MaLRzyXmbzQlHCA-0VutxlnC51Gv0rZ6v5iAEvag6AGy1ctRWXI5LpFqLsqlB7MtDDji2y7TcVuwiYK8iyRCQ?stp=s1024x768&edm=ALXxkZ8EAAAA&_nc_gid=OU1g6hy3lX19feT1cGnNiA&_nc_oc=Ado0AqgDBxTB4iOQhocrVuYeoVznQ1txCzbHLRRryE81XQi5nYgs_VlP3hfhvUhytcQ&ccb=10-5&oh=00_Af-UdzXUYOe7lfEIKC8Ijv7BEhL0IBap_Q79DgnDUqdTjA&oe=6A587344&_nc_sid=201bca,,,,,,,
15808,Udon Ratthaya Expressway,motorway,URBAN,0.9822981635481636,100.5569967,14.1452312,1,198,1641313443817124.0,1777314619624.0,122.57885591787596,False,100.55720150470734,14.14520034362397,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An8DNzUlBWnjOhzQVZBQwtZ2E6attmEaKMUDf-mqWmKBY3c5TnlMFmUS85ARYtCrZ2v1YmyQxdgyNieR08sKaWJbDB5xg8tNwAHD89m7VgoNQMaA9xLh6lChN5hSCWSm4JhlYTYQR1a38Kn96OkaLno?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=psKS18iV76pqPY8_4q3VTw&_nc_oc=AdpspmCyKNBqgArS6SUHfSNiTYMDZ9swPPq2E5r_x1r9CXmQLdmYpI0fDeHAsBfqlXI&ccb=10-5&oh=00_Af9PLgraNLY0X7YZ3InUfIyoOpaS2T7SgXleAoezvjl7tQ&oe=6A587694&_nc_sid=201bca,,,,,,,
32459, ,motorway,URBAN,0.9821357415107415,100.6714758,13.655475,1,1882,468383297588869.0,1553968300500.0,0.0,False,100.67182302474976,13.65589650267708,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-fKajA28bl1Q6jAx1x_JUSSwmTJ9EjOM1sgB2qwAJ2ZaXkLb7iFMJNvze7YFxJzACgAZg-PpHHhkoLGD0RWJlHuzPOkRyLThA-QfU_v7hGSX7hlcVVsB0UQ7QKGtUwvb_TIqNCrAryKgsYEr7WbNM?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=_uzcZeRpnGhw_IiWzV1xeg&_nc_oc=Adpw6ENnuaa_vYhP_q6k59REhziMTps31VZDHbyn9CFLFB8c_VDcciP9LeMXO9KArAE&ccb=10-5&oh=00_Af9Ny5BEFf-ehs6yMykiZHGMyFcvCcbbOOM_sN5EsvKQMQ&oe=6A585733&_nc_sid=201bca,,,,,,,
17498,Asian Highway,trunk,URBAN,0.9802191614691615,100.31363238,15.07532886,1,241,1380863312285039.0,1553677055088.0,137.20125244054,False,100.31307756900787,15.075920362568311,https://scontent.fmnl22-1.fna.fbcdn.net/m1/v/t6/An-ouekQsJW833CUhH_ACP_QLBuzLVoj554MGYxSqjrYf_GCnqArjIrK2gF70cEB1KeJd8A5Ta5KPCwyAKIKMHu7IMNaAt3X8q8xGWIyQvJhLlkf-1CLQXsMIYiG6kMvw07kyo30-YQYnkspbEKLnQ?stp=s1024x576&edm=ALXxkZ8EAAAA&_nc_gid=oUEWLvraPWofTRNqdyf5cQ&_nc_oc=AdqByT7HR4nftyF8oI8noYHZ7CMQAVQK_xURQpJlYwQSMCw1gz0HXPo6F1cIrnEh4N8&ccb=10-5&oh=00_Af-REeX_ReN9eTUvP6toMKGKM1zvItQo5k9bSjd0COLW3w&oe=6A586002&_nc_sid=201bca,,,,,,,
